rank,appId,name,currentPlayers,peakPlayers,hoursPlayed,Australian Dollar,Brazilian Real,British Pound,CIS - U.S. Dollar,Canadian Dollar,Chilean Peso,Chinese Yuan,Colombian Peso,Costa Rican Colon,Euro,Hong Kong Dollar,Indian Rupee,Indonesian Rupiah,Israeli New Shekel,Japanese Yen,Kazakhstani Tenge,Kuwaiti Dinar,LATAM - U.S. Dollar,MENA - U.S. Dollar,Malaysian Ringgit,Mexican Peso,New Zealand Dollar,Norwegian Krone,Peruvian Sol,Philippine Peso,Polish Zloty,Qatari Riyal,Russian Ruble,Saudi Riyal,Singapore Dollar,South African Rand,South Asia - USD,South Korean Won,Swiss Franc,Taiwan Dollar,Thai Baht,U.A.E. Dirham,U.S. Dollar,Ukrainian Hryvnia,Uruguayan Peso,Vietnamese Dong
31,359550,Tom Clancy's Rainbow Six Siege,24587,94386,39093939,"17,05€","13,24€","21,30€","17,65€","15,89€","15,26€","12,01€","17,02€","20,77€","19,99€","16,69€","10,30€","12,33€","19,71€","17,05€","11,60€","19,54€","14,12€","14,12€","14,27€","18,26€","18,32€","18,09€","18,02€","12,67€","18,83€","20,14€",,"17,89€","19,08€","16,52€","13,23€","14,25€","21,32€","16,66€","15,35€","18,27€","17,65€","9,18€","18,--€","11,53€"
32,2139460,Once Human,24484,58733,23595124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,322330,Don't Starve Together,24019,60595,18451553,"12,24€","4,36€","13,01€","7,49€","10,80€","5,99€","2,94€","5,32€","11,34€","14,99€","8,57€","4,73€","5,16€","13,96€","9,08€","4,15€","8,05€","5,81€","5,81€","6,41€","6,86€","9,43€","8,65€","7,45€","6,18€","12,73€","8,24€","3,84€","7,05€","9,92€","5,17€","8,82€","9,86€","16,07€","7,84€","6,44€","10,09€","13,23€","4,90€","6,97€","5,61€"
34,1091500,Cyberpunk 2077,23518,47545,16699054,"20,48€","12,45€","23,67€","10,58€","20,34€","14,98€","14,60€","16,96€","24,37€","23,99€","17,99€","12,36€","15,07€","24,85€","21,54€","12,47€","22,99€","15,88€","15,88€","18,12€","23,78€","20,96€","20,05€","19,13€","16,49€","18,76€","23,20€",,"21,56€","18,88€","15,76€","10,58€","16,80€","29,99€","18,71€","19,41€","22,02€","21,18€","11,96€","13,54€","13,46€"
35,1174180,Red Dead Redemption 2,23401,56455,22086402,"12,80€","11,67€","17,75€","13,23€","12,71€","12,64€","8,54€","12,78€","14,39€","14,99€","13,19€","12,88€","11,83€","14,34€","13,21€","12,99€","14,38€","13,23€","13,23€","12,87€","13,72€","13,09€","15,56€","13,21€","13,48€","14,72€","13,34€",,"13,47€","13,66€","14,16€","13,23€","11,61€","15,80€","13,08€","12,80€","13,76€","13,23€","13,89€","12,17€","11,54€"
36,1281930,tModLoader,23267,47868,18848545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,218620,PAYDAY 2,22903,30911,14477752,"8,25€","5,13€","10,06€","5,55€","8,26€","5,38€","5,14€","5,54€","8,03€","9,99€","7,44€","4,95€","4,90€","9,22€","7,36€","5,02€","5,61€","8,82€","8,82€","5,53€","5,67€","7,73€","9,52€","5,52€","5,31€","10,84€","6,06€","4,24€","5,29€","6,84€","4,93€","4,84€","7,--€","11,77€","5,50€","5,93€","6,97€","8,82€","4,81€","6,57€","4,82€"
38,289070,Sid Meier's Civilization VI,22842,47047,19599469,"5,11€","2,--€","5,91€","2,64€","5,08€","4,21€","2,69€","2,77€","2,78€","5,99€","5,24€","2,56€","2,42€","5,61€","4,29€","1,23€","5,61€","5,28€","5,28€","3,70€","2,74€","5,23€","5,18€","5,74€","3,47€","6,08€","5,82€",,"2,70€","5,12€","4,43€","3,96€","4,13€","7,48€","5,24€","4,31€","5,98€","5,28€","1,11€","1,63€","2,39€"
39,221100,DayZ,22583,64022,25968207,"39,85€","23,36€","47,36€","44,14€","43,24€","30,90€","29,29€","31,94€","52,38€","47,99€","39,46€","36,08€","35,--€","49,90€","38,04€","31,01€","48,63€","44,14€","44,14€","35,16€","32,--€","39,31€","50,99€","38,44€","38,06€","44,79€","48,52€","30,76€","44,50€","41,04€","34,47€","44,14€","37,54€","51,41€","43,89€","40,44€","45,44€","44,14€","25,66€","33,90€","37,41€"
40,105600,Terraria,22158,49056,18095231,"8,25€","5,13€","10,06€","5,55€","8,26€","5,38€","5,14€","5,54€","8,03€","9,75€","7,44€","4,95€","4,90€","9,22€","7,36€","5,02€","5,61€","5,11€","5,11€","5,53€","5,67€","7,73€","9,52€","5,52€","5,31€","10,84€","6,06€","4,24€","5,29€","6,84€","4,93€","4,84€","7,--€","11,77€","5,50€","5,93€","6,97€","8,82€","4,81€","6,57€","4,82€"
41,1245620,ELDEN RING,21933,54359,23659183,"51,22€","35,81€","59,21€","35,31€","50,87€","36,05€","36,52€","42,60€","45,39€","59,99€","54,01€","37,11€","32,25€","62,14€","55,35€","31,19€","57,26€","42,37€","35,31€","41,17€","37,49€","52,41€","51,86€","41,46€","38,06€","58,71€","60,43€","39,69€","58,62€","54,66€","41,86€","52,97€","41,23€","74,89€","52,41€","48,29€","59,86€","52,97€","38,50€","38,14€","33,67€"
42,1623730,Palworld,20830,44133,15323391,"25,02€","13,86€","29,59€","12,79€","24,79€","14,51€","13,23€","14,91€","21,65€","28,99€","21,08€","13,40€","13,24€","27,68€","20,86€","13,17€","14,24€","13,23€","13,23€","14,89€","15,33€","22,85€","29,--€","15,14€","14,43€","32,77€","15,77€","12,13€","14,47€","17,78€","13,31€","9,26€","20,36€","35,89€","14,28€","15,91€","18,99€","26,48€","12,84€","18,76€","13,09€"
43,2694490,Path of Exile 2,20292,104884,33082595,"26,26€","12,43€","28,34€","12,79€","26,66€","27,71€",,"28,24€","26,60€","27,75€",,"26,11€","25,75€","27,70€","28,48€","13,17€","26,56€","26,48€","26,48€","27,72€","28,04€","26,93€","28,75€","27,42€","28,04€","29,44€","26,49€","15,41€","26,47€","27,66€","26,79€","26,48€",,"28,71€",,"21,52€","26,48€","26,48€","12,84€","27,20€",
44,322170,Geometry Dash,20099,47812,17425086,"4,27€","2,64€","5,08€","2,90€","4,12€","2,80€","2,69€","2,87€","4,19€","4,99€","3,72€","2,57€","2,55€","4,61€","3,55€","2,59€","3,16€","2,64€","2,64€","2,89€","2,95€","3,87€","4,80€","2,88€","2,77€","5,42€","3,15€","2,20€","2,81€","3,59€","2,56€","2,64€","3,56€","5,88€","2,98€","3,10€","3,60€","4,40€","2,65€","3,37€","2,49€"
45,294100,RimWorld,18973,34564,16881282,"20,47€","9,96€","26,99€","11,64€","20,34€","11,61€","11,07€","11,08€","20,25€","25,59€","17,05€","9,06€","9,47€","25,94€","18,90€","10,39€","12,89€","12,70€","12,70€","11,75€","13,03€","19,70€","22,09€","12,88€","11,42€","26,40€","14,17€","9,69€","12,04€","15,87€","10,06€","9,17€","19,09€","29,13€","12,38€","11,87€","17,69€","24,71€","8,02€","14,75€","9,52€"
46,3241660,R.E.P.O.,18609,137363,51304628,"8,25€","5,13€","10,06€","5,55€","8,26€","5,38€","5,14€","5,54€","8,03€","9,75€","7,44€","4,95€","4,90€","9,22€","7,36€","5,02€","5,61€","5,11€","5,11€","5,53€","5,67€","7,73€","9,52€","5,52€","5,31€","10,84€","6,06€","4,24€","5,29€","6,84€","4,93€","4,84€","7,--€","11,77€","5,50€","5,93€","6,97€","8,82€","4,81€","6,57€","4,82€"
47,2246340,Monster Hunter Wilds,17893,219734,37269641,"59,76€","43,46€","71,05€","48,56€","57,23€","56,10€","45,09€","42,81€","61,98€","69,99€","56,16€","46,39€","46,79€","69,62€","60,75€","44,70€","63,31€","46,35€","46,35€","51,51€","54,89€","66,02€","66,58€","61,29€","55,37€","70,50€","66,74€",,"65,69€","68,34€","64,06€","61,80€","53,96€","74,89€","58,26€","53,68€","64,67€","61,80€","42,78€","57,23€","47,27€"
48,1085660,Destiny 2,17846,59826,18460724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1222670,The Sims™ 4,17225,45378,19840388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2357570,Overwatch® 2,17134,59939,20556485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,489830,The Elder Scrolls V: Skyrim Special Edition,16995,50490,20452677,"31,29€","23,21€","41,44€","22,06€","34,01€","25,27€","20,22€","25,57€","38,23€","39,99€","33,71€","18,55€","17,77€","38,68€","26,99€","17,32€","34,53€","21,18€","21,18€","24,61€","32,91€","36,66€","34,63€","28,60€","19,02€","39,84€","38,59€",,"37,43€","37,62€","29,53€","22,06€","28,63€","48,20€","35,10€","24,25€","38,22€","35,31€","13,89€","25,42€","16,97€"
52,346110,ARK: Survival Evolved,16977,39532,16385870,"12,50€","7,32€","15,14€","7,49€","12,39€","7,77€","7,10€","7,99€","11,34€","14,79€","10,71€","7,11€","7,05€","13,96€","10,43€","7,10€","8,05€","13,23€","13,23€","7,96€","8,19€","11,52€","14,28€","8,05€","7,69€","16,03€","8,24€","6,06€","7,75€","9,92€","7,15€","6,17€","10,50€","17,98€","7,84€","8,49€","10,09€","13,23€","6,95€","9,64€","6,97€"
53,292030,The Witcher 3: Wild Hunt,16865,30049,7978535,"3,41€","2,02€","2,94€","1,75€","3,55€","1,71€","1,82€","2,77€","2,77€","2,99€","3,49€","1,74€","1,93€","3,49€","3,42€","2,07€","2,56€","2,64€","2,64€","3,10€","1,60€","3,55€","2,76€","2,30€","2,69€","2,35€","2,66€",,"2,44€","3,44€","2,60€","3,52€","2,21€","4,27€","2,51€","2,80€","3,22€","3,52€","2,01€","1,82€","2,24€"
54,3164500,Schedule I,16782,204592,51053478,,"9,34€","19,83€","9,26€","16,52€","9,83€","9,31€","10,12€","14,84€","19,50€","14,09€","9,07€","8,93€","18,45€","14,11€","9,01€","9,64€","9,26€","9,26€","10,13€","10,43€","15,19€","19,04€","10,33€","9,75€","21,69€","10,67€",,"9,64€","12,65€","9,12€","7,23€","13,68€","23,56€","9,60€","10,79€","12,74€","17,65€","8,88€","12,61€","8,84€"
55,281990,Stellaris,16282,43836,13988086,"32,43€","22,43€","41,44€","23,83€","33,70€","26,41€","20,58€","26,87€","36,84€","39,99€","29,09€","22,67€","23,10€","38,68€","33,07€","22,87€","34,39€","21,18€","21,18€","28,34€","28,11€","33,54€","38,52€","27,63€","25,36€","43,61€","36,40€","24,25€","28,25€","30,78€","24,85€","23,39€","28,--€","44,99€","29,80€","29,37€","36,78€","35,31€","20,95€","29,45€","22,58€"
56,1973530,Limbus Company,15408,67856,11301962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1604030,V Rising,15362,76601,23048391,"28,94€","15,83€","34,90€","14,54€","28,57€","16,84€","13,22€","17,25€","25,29€","34,99€","16,78€","15,45€","15,35€","32,73€","20,83€","15,23€","16,09€","15,87€","15,87€","17,35€","17,82€","26,15€","33,85€","17,52€","12,66€","38,13€","18,18€","13,19€","16,92€","19,82€","15,51€","10,57€","21,92€","41,72€","16,55€","13,42€","22,09€","30,86€","14,96€","21,81€","15,11€"
58,251570,7 Days to Die,15249,43396,17640735,"37,46€","18,94€","44,94€","18,07€","36,83€","20,11€","18,61€","20,56€","31,04€","43,99€","31,09€","18,54€","18,26€","42,16€","30,02€","18,17€","20,12€","18,51€","18,51€","20,66€","21,25€","33,73€","43,40€","20,88€","19,82€","49,08€","22,18€","16,48€","19,87€","25,97€","18,46€","13,22€","29,86€","53,49€","19,59€","21,76€","27,86€","39,69€","17,85€","27,11€","17,83€"
59,2763740,Revolution Idle,15039,20436,8791308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1449850,Yu-Gi-Oh!  Master Duel,14641,39105,12634702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,227300,Euro Truck Simulator 2,14587,44837,16294343,"4,18€","2,40€","4,99€","2,41€","4,12€","2,54€","2,69€","2,55€","3,70€","4,99€","3,63€","2,36€","2,37€","4,58€","4,25€","2,25€","3,39€","2,22€","2,22€","2,78€","2,79€","4,17€","4,77€","2,82€","2,55€","4,70€","3,33€","3,42€","3,46€","4,01€","2,69€","2,39€","3,93€","5,07€","3,12€","2,74€","3,48€","4,40€","2,13€","3,13€","2,37€"
62,1364780,Street Fighter™ 6,14318,33547,11171633,"35,75€","27,79€","41,39€","26,45€","34,93€","27,97€","24,24€","29,80€","28,25€","39,99€","32,44€","25,74€","26,40€","39,44€","30,57€","27,69€","31,04€","26,45€","26,45€","29,33€","28,75€","36,59€","38,97€","28,57€","31,55€","39,78€","30,79€",,"30,57€","38,96€","28,02€","35,28€","28,46€","42,69€","33,04€","30,39€","30,74€","35,28€","25,63€","29,44€","26,97€"
63,250900,The Binding of Isaac: Rebirth,14210,29167,13790151,"11,35€","4,34€","13,--€","7,05€","10,79€","5,98€","5,87€","5,32€","11,33€","14,99€","8,56€","4,72€","5,17€","13,88€","9,06€","4,15€","8,04€","13,22€","13,22€","6,40€","6,85€","9,41€","8,68€","7,44€","6,15€","12,71€","8,24€","4,93€","6,82€","9,57€","5,17€","13,22€","9,84€","16,05€","7,83€","6,42€","10,08€","13,22€","4,89€","6,96€","5,60€"
64,582660,Black Desert,13980,18912,10895153,"7,37€","2,71€","10,63€","5,28€","8,25€","3,85€",,"3,81€","4,93€","9,99€","5,45€",,"2,64€",,"5,51€","3,28€","5,46€","3,16€","4,40€","3,20€","9,55€","6,80€","8,94€","4,08€","3,01€","10,59€","4,60€","3,84€","5,86€","4,44€","3,89€",,,"11,77€","5,84€","5,37€","4,56€","8,81€","3,18€","4,23€","2,71€"
65,1623660,MIR4,13463,15392,10201780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2623190,The Elder Scrolls IV: Oblivion Remastered,13458,152429,31741123,"48,25€","41,13€","59,14€","30,86€","42,55€","33,68€","30,48€","42,38€","43,43€","54,99€","44,95€","42,87€","37,66€","54,33€","42,46€","31,16€","45,96€","30,86€","30,86€","43,99€","45,66€","47,05€","51,99€","35,78€","31,71€","58,62€","48,49€",,"47,04€","47,28€","51,65€","30,86€",,"57,67€","43,83€","34,94€","48,03€","44,10€","38,46€","33,87€","28,87€"
67,1905180,OBS Studio,12754,26865,10566003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
