rank,appId,name,currentPlayers,peakPlayers,hoursPlayed,Australian Dollar,Brazilian Real,British Pound,CIS - U.S. Dollar,Canadian Dollar,Chilean Peso,Chinese Yuan,Colombian Peso,Costa Rican Colon,Euro,Hong Kong Dollar,Indian Rupee,Indonesian Rupiah,Israeli New Shekel,Japanese Yen,Kazakhstani Tenge,Kuwaiti Dinar,LATAM - U.S. Dollar,MENA - U.S. Dollar,Malaysian Ringgit,Mexican Peso,New Zealand Dollar,Norwegian Krone,Peruvian Sol,Philippine Peso,Polish Zloty,Qatari Riyal,Russian Ruble,Saudi Riyal,Singapore Dollar,South African Rand,South Asia - USD,South Korean Won,Swiss Franc,Taiwan Dollar,Thai Baht,U.A.E. Dirham,U.S. Dollar,Ukrainian Hryvnia,Uruguayan Peso,Vietnamese Dong
78,4000,Garry's Mod,11064,32902,13298905,"8,23€","4,03€","8,27€","6,16€","6,98€","5,14€","4,40€","5,--€","8,02€","9,99€","8,44€","4,11€","4,85€","9,16€","6,--€","3,89€","5,60€","5,10€","5,10€","4,75€","5,02€","7,84€","6,07€","6,71€","5,07€","8,47€","6,05€","8,24€","7,76€","7,17€","5,36€","8,81€","6,67€","10,70€","8,12€","5,89€","7,92€","8,81€","3,61€","4,85€","4,07€"
79,2300320,Farming Simulator 25,10962,40041,13131301,"42,57€","34,62€","50,18€","32,19€","43,67€","41,98€","25,58€","42,59€","45,79€","49,99€","35,93€","28,32€","29,31€","49,35€","40,30€","34,45€","24,43€","32,19€","32,19€","32,85€","41,59€","45,76€","50,86€","43,22€","22,12€","54,62€","37,78€","21,43€","29,38€","34,11€","23,39€","29,10€","27,96€","59,38€","35,06€","34,69€","38,43€","44,10€","26,70€","42,26€","32,27€"
80,1476970,Legends of Idleon MMO,10915,19294,10159198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2344520,Diablo® IV,10706,37361,10705372,"42,57€","35,69€","49,67€","44,10€","42,55€","44,44€","42,60€","40,52€","43,60€","49,99€","43,93€","42,85€","40,09€","49,86€","41,05€","39,14€","43,09€","44,10€","44,10€","49,07€","45,66€","41,84€","47,65€","43,46€","47,57€","50,73€","44,36€",,"44,33€","47,85€","44,12€","44,10€","39,65€","53,39€","46,05€","47,04€","43,95€","44,10€","36,26€","40,22€","40,76€"
82,899770,Last Epoch,10695,136648,26428076,"23,15€","12,41€","27,92€","12,70€","22,86€","13,47€","12,53€","13,80€","20,23€","27,19€","19,64€","12,36€","12,28€","26,18€","19,11€","12,18€","12,87€","12,70€","12,70€","13,88€","14,26€","20,91€","27,08€","14,02€","13,31€","30,13€","14,54€","12,97€","13,53€","15,85€","13,19€","12,70€","19,06€","33,37€","13,21€","14,63€","17,67€","24,69€","11,97€","17,45€","12,09€"
83,2399830,ARK: Survival Ascended,10675,24200,11389388,"39,76€","34,15€","44,94€","18,07€","38,11€","38,92€","30,36€","40,48€","41,69€","44,99€","39,43€","38,11€","38,53€","44,65€","41,42€","37,18€","40,24€","18,51€","18,51€","44,42€","37,71€","39,23€","43,40€","40,82€","40,59€","49,08€","38,79€","46,38€","38,80€","41,01€","42,35€","13,22€","38,76€","53,49€","42,69€","43,84€","39,63€","39,69€","35,17€","37,91€","37,36€"
84,365670,Blender,10630,13797,6893896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,513710,SCUM,10629,21920,9448989,"33,23€","17,85€","39,62€","21,16€","33,02€","18,05€","21,24€","21,74€","27,73€","38,99€","27,94€","20,45€","19,50€","37,20€","27,57€","18,69€","21,27€","21,16€","21,16€","23,15€","18,74€","29,81€","38,62€","20,91€","21,18€","43,55€","21,33€","25,66€","21,16€","23,24€","21,96€","21,16€","26,69€","47,61€","21,78€","22,67€","25,22€","35,28€","18,94€","24,36€","19,19€"
86,236850,Europa Universalis IV,10604,24988,10421117,"39,73€","27,94€","49,67€","29,54€","42,55€","32,93€","26,69€","33,58€","46,05€","49,99€","40,33€","27,80€","28,93€","47,88€","42,82€","28,56€","42,69€","26,45€","26,45€","35,33€","35,06€","41,84€","48,52€","34,44€","31,69€","54,62€","46,06€","30,43€","35,28€","38,28€","31,02€","29,10€","34,95€","56,16€","37,07€","36,55€","45,87€","44,10€","26,06€","36,62€","28,19€"
87,427520,Factorio,10579,27239,11764668,"28,40€","15,83€","35,49€","14,99€","28,58€","16,84€","15,91€","17,04€","26,16€","32,--€","28,16€","15,45€","16,16€","32,25€","24,50€","13,84€","17,24€","14,99€","14,99€","17,56€","18,28€","26,15€","34,72€","16,80€","15,85€","30,60€","29,09€","13,19€","28,22€","20,50€","14,77€","10,58€","25,41€","42,80€","17,54€","18,82€","24,01€","30,87€","6,41€","21,18€","15,28€"
88,2379780,Balatro,10468,22014,11507070,"12,46€","6,98€","15,13€","7,49€","12,06€","7,76€","6,61€","7,99€","11,33€","13,99€","10,70€","7,10€","7,05€","13,88€","10,41€","7,09€","8,04€","7,04€","7,04€","9,29€","8,18€","11,50€","14,32€","8,04€","7,69€","15,30€","8,24€","6,70€","7,74€","9,91€","7,14€","6,16€","10,48€","17,96€","7,54€","8,47€","10,08€","13,22€","6,94€","9,63€","6,96€"
89,1203620,Enshrouded,10202,33409,7230783,"19,53€","11,17€","23,65€","10,57€","20,32€","11,60€","9,59€","11,93€","17,30€","23,99€","12,52€","10,70€","10,34€","21,82€","16,66€","10,38€","11,47€","10,57€","10,57€","11,40€","12,79€","17,98€","22,22€","12,10€","11,40€","20,71€","12,60€","12,30€","12,22€","16,39€","10,99€","10,57€","15,75€","28,23€","11,66€","11,59€","15,18€","21,16€","9,38€","14,82€","10,46€"
90,550,Left 4 Dead 2,9760,35347,14762179,"8,23€","5,12€","10,05€","5,54€","8,25€","5,38€","5,14€","5,53€","8,02€","9,75€","7,43€","4,94€","4,90€","9,16€","7,35€","5,02€","5,60€","5,10€","5,10€","5,52€","5,66€","7,71€","9,54€","5,52€","5,31€","10,82€","6,05€","4,23€","5,28€","6,83€","4,92€","4,84€","6,99€","11,75€","5,49€","5,91€","6,96€","8,81€","4,81€","6,56€","4,82€"
91,8930,Sid Meier's Civilization V,9747,19424,9389285,"4,24€","1,74€","5,90€","3,29€","5,23€","3,39€","2,90€","3,19€","5,45€","7,49€","6,56€","3,85€","2,69€","6,87€","4,56€","1,68€","7,18€","6,60€","6,60€","2,89€","3,08€","5,22€","4,34€","4,43€","3,01€","7,58€","7,27€",,"4,88€","4,95€","3,92€","5,06€","5,08€","7,75€","6,52€","3,75€","5,52€","6,60€","2,07€","3,19€","4,33€"
92,552990,World of Warships,9600,122368,6394123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1325860,VTube Studio,9577,20928,7643003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,39210,FINAL FANTASY XIV Online,9542,29494,13172364,"16,44€","8,22€","11,81€",,"15,87€","10,71€",,"10,56€","14,82€","9,99€","14,87€","7,40€",,"10,17€","14,82€","6,82€","10,20€","14,10€","14,10€",,"12,57€","8,34€","8,07€","13,44€",,"9,88€","10,66€",,"9,64€","16,40€","7,09€","7,22€",,"10,70€",,,"9,60€","17,63€","6,67€","9,08€",
95,284160,BeamNG.drive,9492,26494,11286945,"20,73€","9,31€","22,71€","11,01€","19,05€","12,16€","8,32€","12,52€","18,31€","22,50€","17,57€","11,33€","11,15€","23,05€","17,15€","8,65€","12,21€","8,81€","11,01€","12,60€","12,93€","18,82€","17,36€","12,72€","12,13€","21,18€","13,33€","9,67€","12,11€","15,03€","11,32€","7,49€","17,15€","29,95€","11,93€","13,31€","15,85€","22,04€","11,01€","15,67€","10,90€"
96,1771300,Kingdom Come: Deliverance II,9397,30344,10461223,"51,09€","46,42€","59,14€","39,69€","50,81€","42,09€","27,91€","47,93€","63,66€","59,99€","50,58€","34,61€","34,54€","59,29€","49,56€","34,79€","51,74€","39,69€","39,69€","38,82€","43,42€","52,80€","51,30€","36,02€","37,79€","59,68€","54,31€",,"52,68€","53,32€","46,78€","39,69€","38,63€","72,65€","51,31€","38,29€","48,99€","52,92€","34,19€","44,46€","33,93€"
97,1454400,Cookie Clicker,9320,12901,7692173,"4,26€","2,63€","5,07€","2,90€","4,12€","2,80€","2,69€","2,87€","4,18€","4,99€","3,71€","2,57€","2,55€","4,58€","3,55€","2,59€","3,16€","2,63€","2,63€","2,89€","2,94€","3,86€","4,81€","2,88€","2,77€","5,41€","3,14€","2,19€","2,81€","3,58€","2,56€","2,63€","3,55€","5,87€","2,98€","3,09€","3,60€","4,40€","2,65€","3,36€","2,49€"
98,892970,Valheim,8780,39860,13812869,"16,44€","5,89€","18,32€","9,25€","14,47€","7,20€","8,57€","6,60€","14,82€","19,99€","10,02€","5,44€","5,87€","18,34€","12,56€","4,58€","9,63€","9,25€","9,25€","8,05€","8,50€","12,96€","12,58€","8,88€","7,13€","16,94€","10,18€","4,78€","8,22€","12,64€","6,40€","7,22€","13,02€","20,86€","9,29€","7,77€","12,73€","17,63€","5,96€","9,08€","6,38€"
99,304930,Unturned,8759,25764,10606668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2429640,THRONE AND LIBERTY,8737,33319,12651800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
